,ticker,EMA_short,EMA_long,lag_adjust,pct_return
3,XLE,5,40,6,3835.4790000000003
283,XLF,5,40,6,2464.999
622,XLU,10,40,12,1022.9530000000001
842,XLI,5,40,4,1875.752
1124,GDX,5,40,8,16055.917
1403,XLK,5,40,6,3271.088
1683,XLV,5,40,6,1160.19
1963,XLY,5,40,6,2485.531
2243,XLP,5,40,6,732.723
2522,XLB,5,40,4,2219.1800000000003
2804,XOP,5,40,8,22134.211
3141,IYR,10,40,10,1412.3319999999999
3362,XHB,5,40,4,4933.629
3642,ITB,5,40,4,10435.901
3924,VNQ,5,40,8,1719.422
4204,GDXJ,5,40,8,27512.39
4542,IYE,10,40,12,3430.988
4764,OIH,5,40,8,12674.764000000001
5044,XME,5,40,8,17210.781
5322,XRT,5,40,4,3344.424
5603,SMH,5,40,6,9019.48
5883,IBB,5,40,6,7881.868
6163,KBE,5,40,6,4120.871
6443,KRE,5,40,6,5358.001
6723,XTL,5,40,6,2108.006
